user.cs_path: /usr/bin:/bin:/usr/sbin:/sbin
user.bc_base_max: 99
user.bc_dim_max: 2048
user.bc_scale_max: 99
user.bc_string_max: 1000
user.coll_weights_max: 2
user.expr_nest_max: 32
user.line_max: 2048
user.re_dup_max: 255
user.posix2_version: 200112
user.posix2_c_bind: 0
user.posix2_c_dev: 0
user.posix2_char_term: 0
user.posix2_fort_dev: 0
user.posix2_fort_run: 0
user.posix2_localedef: 0
user.posix2_sw_dev: 0
user.posix2_upe: 0
user.stream_max: 20
user.tzname_max: 255
kern.ostype: Darwin
kern.osrelease: 20.6.0
kern.osrevision: 199506
kern.version: Darwin Kernel Version 20.6.0: Sun Jun 20 22:50:32 PDT 2021; root:xnu-7195.140.39.0.1~13/RELEASE_ARM64_T8030
kern.maxvnodes: 5700
kern.maxproc: 2000
kern.maxfiles: 12288
kern.argmax: 262144
kern.securelevel: 0
kern.hostname: iPhone
kern.hostid: 0
kern.clockrate: { hz = 100, tick = 10000, tickadj = 0, profhz = 100, stathz = 100 }
kern.posix1version: 200112
kern.ngroups: 16
kern.job_control: 1
kern.saved_ids: 1
kern.boottime: { sec = 1625968460, usec = 911285 } Sat Jul 10 21:54:20 2021
kern.nisdomainname: 
kern.maxfilesperproc: 10240
kern.maxprocperuid: 1333
kern.ipc.maxsockbuf: 6291456
kern.ipc.sockbuf_waste_factor: 8
kern.ipc.somaxconn: 128
kern.ipc.nmbclusters: 49152
kern.ipc.soqlimitcompat: 1
kern.ipc.io_policy.log: 0
kern.ipc.io_policy.uuid: 1
kern.ipc.mb_drain_force: 0
kern.ipc.mb_drain_maxint: 60
kern.ipc.mb_memory_pressure_percentage: 80
kern.ipc.mb_normalized: 0
kern.ipc.mb_watchdog: 1
kern.ipc.mleak_sample_factor: 500
kern.ipc.extbkidlercvhiwat: 131072
kern.ipc.extbkidletime: 600
kern.ipc.maxextbkidleperproc: 1
kern.ipc.socket_debug: 0
kern.ipc.sodefunct_calls: 0
kern.ipc.sodefunctlog: 0
kern.ipc.sorecvmincopy: 16384
kern.ipc.soreserveheadroom: 1
kern.ipc.sorestrictrecv: 1
kern.ipc.sorestrictsend: 1
kern.ipc.sosendbigcl_ignore_capab: 0
kern.ipc.sosendjcl: 1
kern.ipc.sosendjcl_ignore_capab: 0
kern.ipc.sosendminchain: 16384
kern.ipc.sotcdb: 0
kern.ipc.sothrottlelog: 0
kern.ipc.njcl: 16384
kern.ipc.njclbytes: 16384
kern.ipc.sbmb_cnt: 130
kern.ipc.sbmb_cnt_floor: 0
kern.ipc.sbmb_cnt_peak: 3505
kern.ipc.sbmb_limreached: 0
kern.ipc.soqlencomp: 0
kern.ipc.throttle_best_effort: 0
kern.ipc.maxrecvmsgx: 100
kern.ipc.maxsendmsgx: 100
kern.usrstack: 1871052800
kern.netboot: 0
kern.aiomax: 20
kern.aioprocmax: 8
kern.aiothreads: 2
kern.delayterm: 0
kern.shreg_private: 0
kern.posix.sem.max: 10000
kern.usrstack64: 6166020096
kern.tfp.policy: 2
kern.procname: binbag
kern.speculative_reads_disabled: 0
kern.osversion: 18G5052d
kern.safeboot: 0
kern.rage_vnode: 0
kern.tty.ptmx_max: 511
kern.check_openevt: 0
kern.threadname: 
kern.entropy.health.adaptive_proportion_test.failure_count: 0
kern.entropy.health.adaptive_proportion_test.max_observation_count: 11
kern.entropy.health.adaptive_proportion_test.reset_count: 5260
kern.entropy.health.repetition_count_test.failure_count: 0
kern.entropy.health.repetition_count_test.max_observation_count: 3
kern.entropy.health.repetition_count_test.reset_count: 2683166
kern.entropy.health.startup_done: 1
kern.timer.longterm.qlen: 0
kern.timer.longterm.scan_interval: 100000
kern.timer.longterm.scan_limit: 100000
kern.timer.longterm.scan_pauses: 0
kern.timer.longterm.threshold: 0
kern.timer.coalescing_enabled: 1
kern.timer.deadline_tracking_bin_1: 48000
kern.timer.deadline_tracking_bin_2: 120000
kern.kdbg.debug: 0
kern.kdbg.experimental_continuous: 0
kern.kdbg.oldest_time: 0
kern.skywalk.flowswitch.ip_reass: 1
kern.skywalk.flowswitch.rx_agg_tcp: 16384
