0xfffffff0081cd328: com.apple.iokit.IONetworkingFamily (3.4)
0xfffffff0081e93e8: com.apple.iokit.IOTimeSyncFamily (900.11)
0xfffffff008201170: com.apple.iokit.IOPCIFamily (2.4.1)
0xfffffff008217db8: com.apple.driver.AppleConvergedIPC (1.0.0d1)
0xfffffff008259a50: com.apple.driver.mDNSOffloadUserClient-Embedded (1.0.1b8)
0xfffffff00825c428: com.apple.iokit.IOSkywalkFamily (1.0.0d1)
0xfffffff008274fa0: com.apple.driver.AppleIPAppender (1.0.0d1)
0xfffffff008279448: com.apple.driver.AppleConvergedIPCBaseband (1.0.0d1)
0xfffffff00828d0d0: com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0)
0xfffffff00828efc8: com.company.driver.modulename (1.0)
0xfffffff0082a77c8: com.apple.iokit.IOReporting (47)
0xfffffff0082aa520: com.apple.driver.AppleARMPlatform (1.0.2)
0xfffffff0082e2de0: com.apple.driver.AppleSamsungSPI (1.0.0d1)
0xfffffff0082e8780: com.apple.kec.corecrypto (1.0.0d1)
0xfffffff008332e50: com.apple.kext.CoreTrust (1.0.0d1)
0xfffffff008337448: com.apple.driver.AppleMobileFileIntegrity (1.0.5)
0xfffffff008340258: com.apple.iokit.IOHIDFamily (1.5.2)
0xfffffff008394438: com.apple.driver.IOSlaveProcessor (1.0.0d1)
0xfffffff0083957c8: com.apple.driver.AppleA7IOP (1.0.0d1)
0xfffffff00839f860: com.apple.driver.RTBuddy (1.0.0d1)
0xfffffff0083c1790: com.apple.iokit.IOCryptoAcceleratorFamily (1.0.0d1)
0xfffffff0083c84f0: com.apple.security.AppleImage4 (1.0.0)
0xfffffff0083d3668: com.apple.driver.AppleFirmwareUpdateKext (1.0.0d1)
0xfffffff0083d5558: com.apple.drivers.AppleSPU (1.0.0d1)
0xfffffff00840b328: com.apple.driver.AppleEmbeddedLightSensor (1.0.0d1)
0xfffffff0084232f0: com.apple.driver.AppleS5L8920XPWM (1.0.0d1)
0xfffffff008424e78: com.apple.driver.AppleBluetoothDebugService (1.0.0d1)
0xfffffff0084250d0: com.apple.driver.corecapture (1.0.0d1)
0xfffffff00843f9a8: com.apple.driver.AppleBluetoothDebug (1.0.0d1)
0xfffffff00844a968: com.apple.iokit.CoreAnalytics (1.0.0d1)
0xfffffff00844f988: com.apple.driver.AppleInputDeviceSupport (4140.6)
0xfffffff00845f640: com.apple.iokit.IOSerialFamily (9.1)
0xfffffff0084662c0: com.apple.driver.AppleOnboardSerial (1.0)
0xfffffff008477460: com.apple.iokit.IOAccessoryManager (1.0.0d1)
0xfffffff00850b798: com.apple.driver.AppleARMPMU (1.0)
0xfffffff008522690: com.apple.driver.AppleEmbeddedTempSensor (1.0.0d1)
0xfffffff008539018: com.apple.AppleSMC_Embedded (1.0.0d1)
0xfffffff008555548: com.apple.driver.AppleHIDTransport (4140.6)
0xfffffff008596818: com.apple.driver.AppleHIDTransportSPI (4140.6)
0xfffffff0085d4398: com.apple.driver.AppleEmbeddedAudioLibs (1.17)
0xfffffff0085de980: com.apple.iokit.IOAudio2Family (1.0)
0xfffffff0085e3a48: com.apple.iokit.AppleARMIISAudio (80.34.1)
0xfffffff0085fa680: com.apple.driver.AppleEmbeddedAudio (442.27)
0xfffffff00862c030: com.apple.driver.AppleAOPAudio (11.5)
0xfffffff0086312a0: com.apple.driver.AppleSART (1.0.0d1)
0xfffffff0086332a0: com.apple.driver.AppleProxDriver (1.40)
0xfffffff008638510: com.apple.driver.AppleSmartIO (1.0.0d1)
0xfffffff008642650: com.apple.driver.AppleMultitouchSPI (4140.7)
0xfffffff008660890: com.apple.driver.AppleUSBHostMergeProperties (0.0.0)
0xfffffff0086612e8: com.apple.driver.usb.AppleUSBCommon (0.0.0)
0xfffffff008665b80: com.apple.iokit.IOUSBHostFamily (0.0.0)
0xfffffff008704888: com.apple.driver.usb.AppleUSBHostPacketFilter (0.0.0)
0xfffffff0087064e0: com.apple.driver.ProvInfoIOKit (1.0.0)
0xfffffff008710898: com.apple.AppleARM64ErrorHandler (1.0.0d1)
0xfffffff008711528: com.apple.driver.DiskImages (595.140.1)
0xfffffff00871a090: com.apple.driver.DiskImages.KernelBacked (595.140.1)
0xfffffff00871daf8: com.apple.driver.DiskImages.RAMBackingStore (595.140.1)
0xfffffff00871e5a8: com.apple.iokit.IOSurface (1.0.0d1)
0xfffffff008737ef8: com.apple.driver.AppleJPEGDriver (1.0.0a1)
0xfffffff00874d8d8: com.apple.driver.IODARTFamily (1.0.0d1)
0xfffffff00875da20: com.apple.driver.AppleEmbeddedPCIE (1.0.0)
0xfffffff00876ca20: com.apple.driver.AppleMultiFunctionManager (1.0.0d1)
0xfffffff008773d58: com.apple.driver.AppleDAPF (1.0.0d1)
0xfffffff0087748f8: com.apple.driver.AppleCSEmbeddedAudio (442.27)
0xfffffff00877e1d0: com.apple.iokit.IOMikeyBusFamily (1.0.0d1)
0xfffffff00879d490: com.apple.driver.AppleTriStar (1.0.0)
0xfffffff0087b90e0: com.apple.driver.AppleEmbeddedMikeyBus (1.0.0)
