# zprint
                            elem         cur         max        cur         max         cur  alloc  alloc
zone name                   size        size        size      #elts       #elts       inuse   size  count
-------------------------------------------------------------------------------------------------------------
vm.permanent                   1         80K         80K      81920       81920       70750    16K  16384
vm.permanent.percpu            6        192K        192K      32768       32768       19808    96K  16384
pmap                         208          0K          0K          0           0           0    16K     78  C
maps                         296        112K        112K        387         387         328    16K     55  C
VM.map.copies                 80        128K        128K       1638        1638        1325    16K    204  C
VM.map.entries                80       2512K       2512K      32153       32153       31296    16K    204  C
VM.map.holes                  32        112K        112K       3584        3584        2824    16K    512  C
vm.pages.array                48      11264K      11264K     240298      240298      240045    16K    341 XC
ipc.ports                    160       3312K       3312K      21196       21196       20667    16K    102  C
ipc.port.sets                 72         32K         32K        455         455         332    16K    227  C
ipc.vouchers                  80         64K         80K        819        1024         174    16K    204  C
tasks                       1688        544K        544K        330         330         312    32K     19  C
proc                        1200        384K        384K        327         327         315    32K     27  C
threads                     1536       3040K       3040K       2026        2026        1215    32K     21  C
cred                         144         64K         64K        455         455         351    16K    113  C
turnstiles                   120        832K        832K       7099        7099        6816    16K    136  C
semaphores                    80         48K         48K        614         614         529    16K    204  C
vm.objects                   256       6208K       6208K      24832       24832       22170    16K     64  C
vm.pages                      64        272K        304K       4352        4864        4061    16K    256  C
default.kalloc.16             16        720K        720K      46080       46080       41927    16K   1024  C
default.kalloc.32             32        800K        800K      25600       25600       23905    16K    512  C
default.kalloc.48             48        224K        224K       4778        4778        2263    16K    341  C
default.kalloc.64             64        544K        576K       8704        9216        5816    16K    256  C
default.kalloc.80             80        272K        288K       3481        3686        1567    16K    204  C
default.kalloc.96             96        848K        848K       9045        9045        8822    16K    170  C
default.kalloc.128           128        608K        608K       4864        4864        4536    16K    128  C
default.kalloc.160           160        752K        752K       4812        4812        4243    16K    102  C
default.kalloc.192           192        160K        192K        853        1024         677    16K     85  C
default.kalloc.224           224        144K        144K        658         658         576    16K     73  C
default.kalloc.256           256        480K        480K       1920        1920        1852    16K     64  C
default.kalloc.288           288         64K         64K        227         227         147    32K    113  C
default.kalloc.368           368        224K        224K        623         623         496    32K     89  C
default.kalloc.400           400         64K         64K        163         163         103    32K     81  C
default.kalloc.512           512       1760K       1760K       3520        3520        3333    16K     32  C
default.kalloc.576           576         48K         48K         85          85          67    16K     28  C
default.kalloc.768           768        128K        128K        170         170         144    16K     21  C
default.kalloc.1024         1024        448K        448K        448         448         388    16K     16  C
default.kalloc.1152         1152        112K        128K         99         113          68    16K     14  C
default.kalloc.1280         1280         96K         96K         76          76          47    32K     25  C
default.kalloc.1664         1664        128K        128K         78          78          55    32K     19  C
default.kalloc.2048         2048        768K        784K        384         392         374    16K      8  C
default.kalloc.4096         4096        896K        944K        224         236         219    16K      4  C
default.kalloc.6144         6144        256K        256K         42          42          35    32K      5  C
default.kalloc.8192         8192        528K        528K         66          66          65    16K      2  C
default.kalloc.16384       16384       3232K       3424K        202         214         201    16K      1  C
default.kalloc.32768       32768       1184K       1280K         37          40          37    32K      1  C
data.kalloc.16                16        624K        624K      39936       39936       37774    16K   1024  C
data.kalloc.32                32        528K        528K      16896       16896       15348    16K    512  C
data.kalloc.48                48        448K        448K       9557        9557        7905    16K    341  C
data.kalloc.64                64        272K        272K       4352        4352        3923    16K    256  C
data.kalloc.96                96        352K        352K       3754        3754        3554    16K    170  C
data.kalloc.128              128        352K        352K       2816        2816        2194    16K    128  C
data.kalloc.160              160         80K         80K        512         512         377    16K    102  C
data.kalloc.192              192         48K         48K        256         256         123    16K     85  C
data.kalloc.256              256        160K        160K        640         640         413    16K     64  C
data.kalloc.368              368        160K        192K        445         534         274    32K     89  C
data.kalloc.512              512        240K        240K        480         480         305    16K     32  C
data.kalloc.768              768        208K        224K        277         298         243    16K     21  C
data.kalloc.1024            1024        320K        336K        320         336         212    16K     16  C
data.kalloc.1152            1152         96K        128K         85         113          12    16K     14  C
data.kalloc.1664            1664        192K        224K        118         137          87    32K     19  C
data.kalloc.2048            2048        160K        192K         80          96          69    16K      8  C
data.kalloc.4096            4096        528K        736K        132         184         119    16K      4  C
data.kalloc.6144            6144         64K        128K         10          21           7    32K      5  C
data.kalloc.8192            8192        112K        208K         14          26          10    16K      2  C
data.kalloc.16384          16384        352K       4544K         22         284          20    16K      1  C
data.kalloc.32768          32768        192K        544K          6          17           6    32K      1  C
zcc_magazine_zone             80        272K        272K       3481        3481         669    16K    204  C
compressor_pager              56        144K        144K       2633        2633        2563    16K    292  C
compressor_slots.16           16         16K         16K       1024        1024         327    16K   1024  C
compressor_slots.64           64         16K         16K        256         256          36    16K    256  C
compressor_slots.512         512       1056K       1056K       2112        2112        2073    16K     32  C
skywalk.netns.ns              72         16K         16K        227         227          15    16K    227  C
cpx                           80        608K        608K       7782        7782        7622    16K    204  C
AES.ctx                      288          0K          0K          0           0           0    32K    113  C
skywalk.mem.skr              416        112K        128K        275         315         183    16K     39  C
skywalk.na.netif            1000         32K         32K         32          32          20    16K     16  C
mk_timer                     160         64K         64K        409         409         338    16K    102  C
fhandle                      136          0K          0K          0           0           0    16K    120  C
NFS.node                     840          0K          0K          0           0           0    32K     39  C
vsockpcbzone                 104          0K          0K          0           0           0    16K    157  C
ulocks                        88         16K         16K        186         186           0    16K    186  C
skywalk.na.mon              1008          0K          0K          0           0           0    16K     16  C
ifnet_proto_hash              40         16K         16K        409         409          24    16K    409  C
NFS.mount                    832          0K          0K          0           0           0    32K     39  C
fileglob                      96        240K        240K       2560        2560        2419    16K    170  C
io_reprioritize_req           40         16K         16K        409         409           0    16K    409
sched.groups                3136          0K          0K          0           0           0    16K      5  C
fileproc                      32         80K         80K       2560        2560        2485    16K    512  C
skywalk.flow.entry.dead       40         16K         16K        409         409           0    16K    409  C
ifnet_filter                  96          0K          0K          0           0           0    16K    170  C
uthreads                     544       1072K       1072K       2017        2017        1215    16K     30  C
os.reasons                   264         16K         16K         62          62           0    16K     62  C
buf.headers                  288          0K          0K          0           0           0    32K    113  C
sigacts                      696        224K        224K        329         329         310    32K     47  C
