jtool2 -k /private/preboot/5B9292BD97BF2C2D35B301AAEC8F324899ABAEA67E1696579A7DB4E4C5D80EF00CB6F44278922789D2D06307CFC81EA4/System/Library/Caches/com.apple.kernelcaches/kernelcache
This is a BVX kernelcache - I support that now
opened companion file kernelcache.ARM64.9696EA20-CC60-3F8E-9711-9A034F35CB5D
0xfffffff008348988: com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0)
0xfffffff00834a698: com.company.driver.modulename (1.0)
0xfffffff008364888: com.apple.iokit.IOReporting (47)
0xfffffff008367210: com.apple.driver.AppleARMPlatform (1.0.2)
0xfffffff008398ee8: com.apple.iokit.IONetworkingFamily (3.4)
0xfffffff0083b3558: com.apple.iokit.IOTimeSyncFamily (1000.11)
0xfffffff0083cbca0: com.apple.iokit.IOPCIFamily (2.4.1)
0xfffffff0083e4798: com.apple.driver.AppleConvergedIPC (1.0.0d1)
0xfffffff008423b18: com.apple.driver.mDNSOffloadUserClient-Embedded (1.0.1b8)
0xfffffff0084269e0: com.apple.iokit.IOSkywalkFamily (1.0)
0xfffffff008467270: com.apple.driver.AppleIPAppender (1.0.0d1)
0xfffffff00846b4f0: com.apple.driver.AppleConvergedIPCBaseband (1.0.0d1)
0xfffffff00847eaa0: com.apple.driver.AppleSamsungSPI (1.0.0d1)
0xfffffff008483f40: com.apple.kec.corecrypto (1.0.0d1)
0xfffffff0084d06f8: com.apple.kext.CoreTrust (1.0.0d1)
0xfffffff0084d6b38: com.apple.iokit.IOCryptoAcceleratorFamily (1.0.0d1)
0xfffffff0084dbfd0: com.apple.security.AppleImage4 (4.1.0)
0xfffffff0084ed190: com.apple.driver.AppleMobileFileIntegrity (1.0.5)
0xfffffff0084fbf40: com.apple.iokit.IOHIDFamily (1.5.2)
0xfffffff0085503d0: com.apple.driver.IOSlaveProcessor (1.0.0d1)
0xfffffff008551710: com.apple.iokit.CoreAnalytics (1.0.0d1)
0xfffffff008556f28: com.apple.driver.AppleA7IOP (1.0.0d1)
0xfffffff008562e80: com.apple.driver.RTBuddy (1.0.0d1)
0xfffffff008590b78: com.apple.driver.AppleFirmwareUpdateKext (1.0.0d1)
0xfffffff008592868: com.apple.drivers.AppleSPU (1.0.0d1)
0xfffffff0085c65e8: com.apple.driver.AppleEmbeddedLightSensor (1.0.0d1)
0xfffffff0085dcde0: com.apple.driver.AppleS5L8920XPWM (1.0.0d1)
0xfffffff0085de9d8: com.apple.driver.AppleBluetoothDebugService (1.0.0d1)
0xfffffff0085dec50: com.apple.driver.corecapture (1.0.0d1)
0xfffffff0085f9540: com.apple.driver.AppleBluetoothDebug (1.0.0d1)
0xfffffff008603808: com.apple.driver.AppleInputDeviceSupport (5100.31)
0xfffffff0086128c0: com.apple.iokit.IOSerialFamily (9.1)
0xfffffff008618dc0: com.apple.driver.AppleOnboardSerial (1.0)
0xfffffff0086292c0: com.apple.iokit.IOAccessoryManager (1.0.0d1)
0xfffffff0086bca70: com.apple.driver.AppleARMPMU (1.0)
0xfffffff0086d1b40: com.apple.driver.AppleEmbeddedTempSensor (1.0.0d1)
0xfffffff0086e6ee0: com.apple.AppleSMC_Embedded (1.0.0d1)
0xfffffff008702d30: com.apple.driver.AppleHIDTransport (5100.31)
0xfffffff008749d68: com.apple.driver.AppleHIDTransportSPI (5100.31)
